Ecclesiastes 7:3	Sorrow [is] better than laughter: for by the sadness of the countenance the heart is made better.
Isaiah 12:4	And in that day shall ye say, Praise the LORD, call upon his name, declare his doings among the people, make mention that his name is exalted.
Isaiah 12:5	Sing unto the LORD; for he hath done excellent things: this [is] known in all the earth.
Isaiah 12:6	Cry out and shout, thou inhabitant of Zion: for great [is] the Holy One of Israel in the midst of thee.
Isaiah 13:1	The burden of Babylon, which Isaiah the son of Amoz did see.
Isaiah 13:2	Lift ye up a banner upon the high mountain, exalt the voice unto them, shake the hand, that they may go into the gates of the nobles.
Isaiah 13:3	I have commanded my sanctified ones, I have also called my mighty ones for mine anger, [even] them that rejoice in my highness.
Isaiah 13:4	The noise of a multitude in the mountains, like as of a great people; a tumultuous noise of the kingdoms of nations gathered together: the LORD of hosts mustereth the host of the battle.
Isaiah 13:5	They come from a far country, from the end of heaven, [even] the LORD, and the weapons of his indignation, to destroy the whole land.
Isaiah 13:6	Howl ye; for the day of the LORD [is] at hand; it shall come as a destruction from the Almighty.
Isaiah 13:7	Therefore shall all hands be faint, and every man’s heart shall melt:
Isaiah 13:8	And they shall be afraid: pangs and sorrows shall take hold of them; they shall be in pain as a woman that travaileth: they shall be amazed one at another; their faces [shall be as] flames.
Isaiah 13:9	Behold, the day of the LORD cometh, cruel both with wrath and fierce anger, to lay the land desolate: and he shall destroy the sinners thereof out of it.
Isaiah 13:10	For the stars of heaven and the constellations thereof shall not give their light: the sun shall be darkened in his going forth, and the moon shall not cause her light to shine.
Isaiah 13:11	And I will punish the world for [their] evil, and the wicked for their iniquity; and I will cause the arrogancy of the proud to cease, and will lay low the haughtiness of the terrible.
Isaiah 13:12	I will make a man more precious than fine gold; even a man than the golden wedge of Ophir.
Isaiah 13:13	Therefore I will shake the heavens, and the earth shall remove out of her place, in the wrath of the LORD of hosts, and in the day of his fierce anger.
Isaiah 13:14	And it shall be as the chased roe, and as a sheep that no man taketh up: they shall every man turn to his own people, and flee every one into his own land.
Isaiah 13:15	Every one that is found shall be thrust through; and every one that is joined [unto them] shall fall by the sword.
Isaiah 13:16	Their children also shall be dashed to pieces before their eyes; their houses shall be spoiled, and their wives ravished.
Isaiah 13:17	Behold, I will stir up the Medes against them, which shall not regard silver; and [as for] gold, they shall not delight in it.
Isaiah 13:18	[Their] bows also shall dash the young men to pieces; and they shall have no pity on the fruit of the womb; their eye shall not spare children.
Isaiah 13:19	And Babylon, the glory of kingdoms, the beauty of the Chaldees’ excellency, shall be as when God overthrew Sodom and Gomorrah.
Isaiah 13:20	It shall never be inhabited, neither shall it be dwelt in from generation to generation: neither shall the Arabian pitch tent there; neither shall the shepherds make their fold there.
Isaiah 13:21	But wild beasts of the desert shall lie there; and their houses shall be full of doleful creatures; and owls shall dwell there, and satyrs shall dance there.
Isaiah 13:22	And the wild beasts of the islands shall cry in their desolate houses, and dragons in [their] pleasant palaces: and her time [is] near to come, and her days shall not be prolonged.
Isaiah 14:1	For the LORD will have mercy on Jacob, and will yet choose Israel, and set them in their own land: and the strangers shall be joined with them, and they shall cleave to the house of Jacob.
Isaiah 14:2	And the people shall take them, and bring them to their place: and the house of Israel shall possess them in the land of the LORD for servants and handmaids: and they shall take them captives, whose captives they were; and they shall rule over their oppressors.
Isaiah 14:3	And it shall come to pass in the day that the LORD shall give thee rest from thy sorrow, and from thy fear, and from the hard bondage wherein thou wast made to serve,
Isaiah 14:4	That thou shalt take up this proverb against the king of Babylon, and say, How hath the oppressor ceased! the golden city ceased!
Isaiah 14:5	The LORD hath broken the staff of the wicked, [and] the sceptre of the rulers.
Isaiah 14:6	He who smote the people in wrath with a continual stroke, he that ruled the nations in anger, is persecuted, [and] none hindereth.
Isaiah 14:7	The whole earth is at rest, [and] is quiet: they break forth into singing.
Isaiah 14:8	Yea, the fir trees rejoice at thee, [and] the cedars of Lebanon, [saying], Since thou art laid down, no feller is come up against us.
Isaiah 14:9	Hell from beneath is moved for thee to meet [thee] at thy coming: it stirreth up the dead for thee, [even] all the chief ones of the earth; it hath raised up from their thrones all the kings of the nations.
Isaiah 14:10	All they shall speak and say unto thee, Art thou also become weak as we? art thou become like unto us?
Isaiah 14:11	Thy pomp is brought down to the grave, [and] the noise of thy viols: the worm is spread under thee, and the worms cover thee.
Isaiah 14:12	How art thou fallen from heaven, O Lucifer, son of the morning! [how] art thou cut down to the ground, which didst weaken the nations!
Isaiah 14:13	For thou hast said in thine heart, I will ascend into heaven, I will exalt my throne above the stars of God: I will sit also upon the mount of the congregation, in the sides of the north:
Isaiah 14:14	I will ascend above the heights of the clouds; I will be like the most High.
Isaiah 14:15	Yet thou shalt be brought down to hell, to the sides of the pit.
Isaiah 14:16	They that see thee shall narrowly look upon thee, [and] consider thee, [saying, Is] this the man that made the earth to tremble, that did shake kingdoms;
Isaiah 14:17	[That] made the world as a wilderness, and destroyed the cities thereof; [that] opened not the house of his prisoners?
Isaiah 14:18	All the kings of the nations, [even] all of them, lie in glory, every one in his own house.
Isaiah 14:19	But thou art cast out of thy grave like an abominable branch, [and as] the raiment of those that are slain, thrust through with a sword, that go down to the stones of the pit; as a carcase trodden under feet.
Isaiah 14:20	Thou shalt not be joined with them in burial, because thou hast destroyed thy land, [and] slain thy people: the seed of evildoers shall never be renowned.
Isaiah 14:21	Prepare slaughter for his children for the iniquity of their fathers; that they do not rise, nor possess the land, nor fill the face of the world with cities.
Isaiah 14:22	For I will rise up against them, saith the LORD of hosts, and cut off from Babylon the name, and remnant, and son, and nephew, saith the LORD.
Isaiah 14:23	I will also make it a possession for the bittern, and pools of water: and I will sweep it with the besom of destruction, saith the LORD of hosts.
Isaiah 14:24	The LORD of hosts hath sworn, saying, Surely as I have thought, so shall it come to pass; and as I have purposed, [so] shall it stand:
Isaiah 14:25	That I will break the Assyrian in my land, and upon my mountains tread him under foot: then shall his yoke depart from off them, and his burden depart from off their shoulders.
Isaiah 14:26	This [is] the purpose that is purposed upon the whole earth: and this [is] the hand that is stretched out upon all the nations.
Isaiah 14:27	For the LORD of hosts hath purposed, and who shall disannul [it]? and his hand [is] stretched out, and who shall turn it back?
Isaiah 14:28	In the year that king Ahaz died was this burden.
Isaiah 14:29	Rejoice not thou, whole Palestina, because the rod of him that smote thee is broken: for out of the serpent’s root shall come forth a cockatrice, and his fruit [shall be] a fiery flying serpent.
Isaiah 14:30	And the firstborn of the poor shall feed, and the needy shall lie down in safety: and I will kill thy root with famine, and he shall slay thy remnant.
Isaiah 14:31	Howl, O gate; cry, O city; thou, whole Palestina, [art] dissolved: for there shall come from the north a smoke, and none [shall be] alone in his appointed times.
Isaiah 14:32	What shall [one] then answer the messengers of the nation? That the LORD hath founded Zion, and the poor of his people shall trust in it.
Isaiah 15:1	The burden of Moab. Because in the night Ar of Moab is laid waste, [and] brought to silence; because in the night Kir of Moab is laid waste, [and] brought to silence;
Isaiah 15:2	He is gone up to Bajith, and to Dibon, the high places, to weep: Moab shall howl over Nebo, and over Medeba: on all their heads [shall be] baldness, [and] every beard cut off.
Isaiah 15:3	In their streets they shall gird themselves with sackcloth: on the tops of their houses, and in their streets, every one shall howl, weeping abundantly.
Isaiah 15:4	And Heshbon shall cry, and Elealeh: their voice shall be heard [even] unto Jahaz: therefore the armed soldiers of Moab shall cry out; his life shall be grievous unto him.
Isaiah 15:5	My heart shall cry out for Moab; his fugitives [shall flee] unto Zoar, an heifer of three years old: for by the mounting up of Luhith with weeping shall they go it up; for in the way of Horonaim they shall raise up a cry of destruction.
Isaiah 15:6	For the waters of Nimrim shall be desolate: for the hay is withered away, the grass faileth, there is no green thing.
Isaiah 15:7	Therefore the abundance they have gotten, and that which they have laid up, shall they carry away to the brook of the willows.
Isaiah 15:8	For the cry is gone round about the borders of Moab; the howling thereof unto Eglaim, and the howling thereof unto Beerelim.
Isaiah 15:9	For the waters of Dimon shall be full of blood: for I will bring more upon Dimon, lions upon him that escapeth of Moab, and upon the remnant of the land.
Isaiah 16:1	Send ye the lamb to the ruler of the land from Sela to the wilderness, unto the mount of the daughter of Zion.
Isaiah 16:2	For it shall be, [that], as a wandering bird cast out of the nest, [so] the daughters of Moab shall be at the fords of Arnon.
Isaiah 16:3	Take counsel, execute judgment; make thy shadow as the night in the midst of the noonday; hide the outcasts; bewray not him that wandereth.
Isaiah 16:4	Let mine outcasts dwell with thee, Moab; be thou a covert to them from the face of the spoiler: for the extortioner is at an end, the spoiler ceaseth, the oppressors are consumed out of the land.
Isaiah 16:5	And in mercy shall the throne be established: and he shall sit upon it in truth in the tabernacle of David, judging, and seeking judgment, and hasting righteousness.
Isaiah 16:6	We have heard of the pride of Moab; [he is] very proud: [even] of his haughtiness, and his pride, and his wrath: [but] his lies [shall] not [be] so.
Isaiah 16:7	Therefore shall Moab howl for Moab, every one shall howl: for the foundations of Kirhareseth shall ye mourn; surely [they are] stricken.
Isaiah 16:8	For the fields of Heshbon languish, [and] the vine of Sibmah: the lords of the heathen have broken down the principal plants thereof, they are come [even] unto Jazer, they wandered [through] the wilderness: her branches are stretched out, they are gone over the sea.
Isaiah 16:9	Therefore I will bewail with the weeping of Jazer the vine of Sibmah: I will water thee with my tears, O Heshbon, and Elealeh: for the shouting for thy summer fruits and for thy harvest is fallen.
Isaiah 16:10	And gladness is taken away, and joy out of the plentiful field; and in the vineyards there shall be no singing, neither shall there be shouting: the treaders shall tread out no wine in [their] presses; I have made [their vintage] shouting to cease.
Isaiah 16:11	Wherefore my bowels shall sound like an harp for Moab, and mine inward parts for Kirharesh.
Isaiah 16:12	And it shall come to pass, when it is seen that Moab is weary on the high place, that he shall come to his sanctuary to pray; but he shall not prevail.
Isaiah 16:13	This [is] the word that the LORD hath spoken concerning Moab since that time.
Isaiah 16:14	But now the LORD hath spoken, saying, Within three years, as the years of an hireling, and the glory of Moab shall be contemned, with all that great multitude; and the remnant [shall be] very small [and] feeble.
Isaiah 17:1	The burden of Damascus. Behold, Damascus is taken away from [being] a city, and it shall be a ruinous heap.
Isaiah 17:2	The cities of Aroer [are] forsaken: they shall be for flocks, which shall lie down, and none shall make [them] afraid.
Isaiah 17:3	The fortress also shall cease from Ephraim, and the kingdom from Damascus, and the remnant of Syria: they shall be as the glory of the children of Israel, saith the LORD of hosts.
Isaiah 17:4	And in that day it shall come to pass, [that] the glory of Jacob shall be made thin, and the fatness of his flesh shall wax lean.
Isaiah 17:5	And it shall be as when the harvestman gathereth the corn, and reapeth the ears with his arm; and it shall be as he that gathereth ears in the valley of Rephaim.
Isaiah 17:6	Yet gleaning grapes shall be left in it, as the shaking of an olive tree, two [or] three berries in the top of the uppermost bough, four [or] five in the outmost fruitful branches thereof, saith the LORD God of Israel.
Isaiah 17:7	At that day shall a man look to his Maker, and his eyes shall have respect to the Holy One of Israel.
Isaiah 17:8	And he shall not look to the altars, the work of his hands, neither shall respect [that] which his fingers have made, either the groves, or the images.
Isaiah 17:9	In that day shall his strong cities be as a forsaken bough, and an uppermost branch, which they left because of the children of Israel: and there shall be desolation.
Isaiah 17:10	Because thou hast forgotten the God of thy salvation, and hast not been mindful of the rock of thy strength, therefore shalt thou plant pleasant plants, and shalt set it with strange slips:
Isaiah 17:11	In the day shalt thou make thy plant to grow, and in the morning shalt thou make thy seed to flourish: [but] the harvest [shall be] a heap in the day of grief and of desperate sorrow.
Isaiah 17:12	Woe to the multitude of many people, [which] make a noise like the noise of the seas; and to the rushing of nations, [that] make a rushing like the rushing of mighty waters!
Isaiah 17:13	The nations shall rush like the rushing of many waters: but [God] shall rebuke them, and they shall flee far off, and shall be chased as the chaff of the mountains before the wind, and like a rolling thing before the whirlwind.
Isaiah 17:14	And behold at eveningtide trouble; [and] before the morning he [is] not. This [is] the portion of them that spoil us, and the lot of them that rob us.
Isaiah 18:1	Woe to the land shadowing with wings, which [is] beyond the rivers of Ethiopia:
Isaiah 18:2	That sendeth ambassadors by the sea, even in vessels of bulrushes upon the waters, [saying], Go, ye swift messengers, to a nation scattered and peeled, to a people terrible from their beginning hitherto; a nation meted out and trodden down, whose land the rivers have spoiled!
Isaiah 18:3	All ye inhabitants of the world, and dwellers on the earth, see ye, when he lifteth up an ensign on the mountains; and when he bloweth a trumpet, hear ye.
Isaiah 18:4	For so the LORD said unto me, I will take my rest, and I will consider in my dwelling place like a clear heat upon herbs, [and] like a cloud of dew in the heat of harvest.
Isaiah 18:5	For afore the harvest, when the bud is perfect, and the sour grape is ripening in the flower, he shall both cut off the sprigs with pruning hooks, and take away [and] cut down the branches.
Isaiah 18:6	They shall be left together unto the fowls of the mountains, and to the beasts of the earth: and the fowls shall summer upon them, and all the beasts of the earth shall winter upon them.
Isaiah 18:7	In that time shall the present be brought unto the LORD of hosts of a people scattered and peeled, and from a people terrible from their beginning hitherto; a nation meted out and trodden under foot, whose land the rivers have spoiled, to the place of the name of the LORD of hosts, the mount Zion.
Isaiah 19:1	The burden of Egypt. Behold, the LORD rideth upon a swift cloud, and shall come into Egypt: and the idols of Egypt shall be moved at his presence, and the heart of Egypt shall melt in the midst of it.
Isaiah 19:2	And I will set the Egyptians against the Egyptians: and they shall fight every one against his brother, and every one against his neighbour; city against city, [and] kingdom against kingdom.
Isaiah 19:3	And the spirit of Egypt shall fail in the midst thereof; and I will destroy the counsel thereof: and they shall seek to the idols, and to the charmers, and to them that have familiar spirits, and to the wizards.
Isaiah 19:4	And the Egyptians will I give over into the hand of a cruel lord; and a fierce king shall rule over them, saith the Lord, the LORD of hosts.
Isaiah 19:5	And the waters shall fail from the sea, and the river shall be wasted and dried up.
Isaiah 19:6	And they shall turn the rivers far away; [and] the brooks of defence shall be emptied and dried up: the reeds and flags shall wither.
Isaiah 19:7	The paper reeds by the brooks, by the mouth of the brooks, and every thing sown by the brooks, shall wither, be driven away, and be no [more].
Isaiah 19:8	The fishers also shall mourn, and all they that cast angle into the brooks shall lament, and they that spread nets upon the waters shall languish.
Isaiah 19:9	Moreover they that work in fine flax, and they that weave networks, shall be confounded.
Isaiah 19:10	And they shall be broken in the purposes thereof, all that make sluices [and] ponds for fish.
Isaiah 19:11	Surely the princes of Zoan [are] fools, the counsel of the wise counsellers of Pharaoh is become brutish: how say ye unto Pharaoh, I [am] the son of the wise, the son of ancient kings?
Isaiah 19:12	Where [are] they? where [are] thy wise [men]? and let them tell thee now, and let them know what the LORD of hosts hath purposed upon Egypt.
Isaiah 19:13	The princes of Zoan are become fools, the princes of Noph are deceived; they have also seduced Egypt, [even they that are] the stay of the tribes thereof.
Isaiah 19:14	The LORD hath mingled a perverse spirit in the midst thereof: and they have caused Egypt to err in every work thereof, as a drunken [man] staggereth in his vomit.
Isaiah 19:15	Neither shall there be [any] work for Egypt, which the head or tail, branch or rush, may do.
Isaiah 19:16	In that day shall Egypt be like unto women: and it shall be afraid and fear because of the shaking of the hand of the LORD of hosts, which he shaketh over it.
Isaiah 19:17	And the land of Judah shall be a terror unto Egypt, every one that maketh mention thereof shall be afraid in himself, because of the counsel of the LORD of hosts, which he hath determined against it.
Isaiah 19:18	In that day shall five cities in the land of Egypt speak the language of Canaan, and swear to the LORD of hosts; one shall be called, The city of destruction.
Isaiah 19:19	In that day shall there be an altar to the LORD in the midst of the land of Egypt, and a pillar at the border thereof to the LORD.
Isaiah 19:20	And it shall be for a sign and for a witness unto the LORD of hosts in the land of Egypt: for they shall cry unto the LORD because of the oppressors, and he shall send them a saviour, and a great one, and he shall deliver them.
Isaiah 19:21	And the LORD shall be known to Egypt, and the Egyptians shall know the LORD in that day, and shall do sacrifice and oblation; yea, they shall vow a vow unto the LORD, and perform [it].
Isaiah 19:22	And the LORD shall smite Egypt: he shall smite and heal [it]: and they shall return [even] to the LORD, and he shall be intreated of them, and shall heal them.
Isaiah 19:23	In that day shall there be a highway out of Egypt to Assyria, and the Assyrian shall come into Egypt, and the Egyptian into Assyria, and the Egyptians shall serve with the Assyrians.
Isaiah 19:24	In that day shall Israel be the third with Egypt and with Assyria, [even] a blessing in the midst of the land:
Isaiah 19:25	Whom the LORD of hosts shall bless, saying, Blessed [be] Egypt my people, and Assyria the work of my hands, and Israel mine inheritance.
Isaiah 20:1	In the year that Tartan came unto Ashdod, (when Sargon the king of Assyria sent him,) and fought against Ashdod, and took it;
Isaiah 20:2	At the same time spake the LORD by Isaiah the son of Amoz, saying, Go and loose the sackcloth from off thy loins, and put off thy shoe from thy foot. And he did so, walking naked and barefoot.
Isaiah 20:3	And the LORD said, Like as my servant Isaiah hath walked naked and barefoot three years [for] a sign and wonder upon Egypt and upon Ethiopia;
Isaiah 20:4	So shall the king of Assyria lead away the Egyptians prisoners, and the Ethiopians captives, young and old, naked and barefoot, even with [their] buttocks uncovered, to the shame of Egypt.
Isaiah 20:5	And they shall be afraid and ashamed of Ethiopia their expectation, and of Egypt their glory.
Isaiah 20:6	And the inhabitant of this isle shall say in that day, Behold, such [is] our expectation, whither we flee for help to be delivered from the king of Assyria: and how shall we escape?
Isaiah 21:1	The burden of the desert of the sea. As whirlwinds in the south pass through; [so] it cometh from the desert, from a terrible land.
Isaiah 21:2	A grievous vision is declared unto me; the treacherous dealer dealeth treacherously, and the spoiler spoileth. Go up, O Elam: besiege, O Media; all the sighing thereof have I made to cease.
Isaiah 21:3	Therefore are my loins filled with pain: pangs have taken hold upon me, as the pangs of a woman that travaileth: I was bowed down at the hearing [of it]; I was dismayed at the seeing [of it].
Isaiah 21:4	My heart panted, fearfulness affrighted me: the night of my pleasure hath he turned into fear unto me.
Isaiah 21:5	Prepare the table, watch in the watchtower, eat, drink: arise, ye princes, [and] anoint the shield.
Isaiah 21:6	For thus hath the Lord said unto me, Go, set a watchman, let him declare what he seeth.
Isaiah 21:7	And he saw a chariot [with] a couple of horsemen, a chariot of asses, [and] a chariot of camels; and he hearkened diligently with much heed:
Isaiah 21:8	And he cried, A lion: My lord, I stand continually upon the watchtower in the daytime, and I am set in my ward whole nights:
Isaiah 21:9	And, behold, here cometh a chariot of men, [with] a couple of horsemen. And he answered and said, Babylon is fallen, is fallen; and all the graven images of her gods he hath broken unto the ground.
Isaiah 21:10	O my threshing, and the corn of my floor: that which I have heard of the LORD of hosts, the God of Israel, have I declared unto you.
Isaiah 21:11	The burden of Dumah. He calleth to me out of Seir, Watchman, what of the night? Watchman, what of the night?
Isaiah 21:12	The watchman said, The morning cometh, and also the night: if ye will inquire, inquire ye: return, come.
Isaiah 21:13	The burden upon Arabia. In the forest in Arabia shall ye lodge, O ye travelling companies of Dedanim.
Isaiah 21:14	The inhabitants of the land of Tema brought water to him that was thirsty, they prevented with their bread him that fled.
Isaiah 21:15	For they fled from the swords, from the drawn sword, and from the bent bow, and from the grievousness of war.
Isaiah 21:16	For thus hath the Lord said unto me, Within a year, according to the years of an hireling, and all the glory of Kedar shall fail:
Isaiah 21:17	And the residue of the number of archers, the mighty men of the children of Kedar, shall be diminished: for the LORD God of Israel hath spoken [it].
Isaiah 22:1	The burden of the valley of vision. What aileth thee now, that thou art wholly gone up to the housetops?
Isaiah 22:2	Thou that art full of stirs, a tumultuous city, a joyous city: thy slain [men are] not slain with the sword, nor dead in battle.
Isaiah 22:3	All thy rulers are fled together, they are bound by the archers: all that are found in thee are bound together, [which] have fled from far.
Isaiah 22:4	Therefore said I, Look away from me; I will weep bitterly, labour not to comfort me, because of the spoiling of the daughter of my people.
Isaiah 22:5	For [it is] a day of trouble, and of treading down, and of perplexity by the Lord GOD of hosts in the valley of vision, breaking down the walls, and of crying to the mountains.
Isaiah 22:6	And Elam bare the quiver with chariots of men [and] horsemen, and Kir uncovered the shield.
Isaiah 22:7	And it shall come to pass, [that] thy choicest valleys shall be full of chariots, and the horsemen shall set themselves in array at the gate.
Isaiah 22:8	And he discovered the covering of Judah, and thou didst look in that day to the armour of the house of the forest.
Isaiah 22:9	Ye have seen also the breaches of the city of David, that they are many: and ye gathered together the waters of the lower pool.
Isaiah 22:10	And ye have numbered the houses of Jerusalem, and the houses have ye broken down to fortify the wall.
Isaiah 22:11	Ye made also a ditch between the two walls for the water of the old pool: but ye have not looked unto the maker thereof, neither had respect unto him that fashioned it long ago.
Isaiah 22:12	And in that day did the Lord GOD of hosts call to weeping, and to mourning, and to baldness, and to girding with sackcloth:
Isaiah 22:13	And behold joy and gladness, slaying oxen, and killing sheep, eating flesh, and drinking wine: let us eat and drink; for to morrow we shall die.
Isaiah 22:14	And it was revealed in mine ears by the LORD of hosts, Surely this iniquity shall not be purged from you till ye die, saith the Lord GOD of hosts.
Isaiah 22:15	Thus saith the Lord GOD of hosts, Go, get thee unto this treasurer, [even] unto Shebna, which [is] over the house, [and say],
Isaiah 22:16	What hast thou here? and whom hast thou here, that thou hast hewed thee out a sepulchre here, [as] he that heweth him out a sepulchre on high, [and] that graveth an habitation for himself in a rock?
Isaiah 22:17	Behold, the LORD will carry thee away with a mighty captivity, and will surely cover thee.
Isaiah 22:18	He will surely violently turn and toss thee [like] a ball into a large country: there shalt thou die, and there the chariots of thy glory [shall be] the shame of thy lord’s house.
Isaiah 22:19	And I will drive thee from thy station, and from thy state shall he pull thee down.
Isaiah 22:20	And it shall come to pass in that day, that I will call my servant Eliakim the son of Hilkiah:
Isaiah 22:21	And I will clothe him with thy robe, and strengthen him with thy girdle, and I will commit thy government into his hand: and he shall be a father to the inhabitants of Jerusalem, and to the house of Judah.
Isaiah 22:22	And the key of the house of David will I lay upon his shoulder; so he shall open, and none shall shut; and he shall shut, and none shall open.
Isaiah 22:23	And I will fasten him [as] a nail in a sure place; and he shall be for a glorious throne to his father’s house.
Isaiah 22:24	And they shall hang upon him all the glory of his father’s house, the offspring and the issue, all vessels of small quantity, from the vessels of cups, even to all the vessels of flagons.
Isaiah 22:25	In that day, saith the LORD of hosts, shall the nail that is fastened in the sure place be removed, and be cut down, and fall; and the burden that [was] upon it shall be cut off: for the LORD hath spoken [it].
Isaiah 23:1	The burden of Tyre. Howl, ye ships of Tarshish; for it is laid waste, so that there is no house, no entering in: from the land of Chittim it is revealed to them.
Isaiah 23:2	Be still, ye inhabitants of the isle; thou whom the merchants of Zidon, that pass over the sea, have replenished.
Isaiah 23:3	And by great waters the seed of Sihor, the harvest of the river, [is] her revenue; and she is a mart of nations.
Isaiah 23:4	Be thou ashamed, O Zidon: for the sea hath spoken, [even] the strength of the sea, saying, I travail not, nor bring forth children, neither do I nourish up young men, [nor] bring up virgins.
Isaiah 23:5	As at the report concerning Egypt, [so] shall they be sorely pained at the report of Tyre.
Isaiah 23:6	Pass ye over to Tarshish; howl, ye inhabitants of the isle.
Isaiah 23:7	[Is] this your joyous [city], whose antiquity [is] of ancient days? her own feet shall carry her afar off to sojourn.
Isaiah 23:8	Who hath taken this counsel against Tyre, the crowning [city], whose merchants [are] princes, whose traffickers [are] the honourable of the earth?
Isaiah 23:9	The LORD of hosts hath purposed it, to stain the pride of all glory, [and] to bring into contempt all the honourable of the earth.
Isaiah 23:10	Pass through thy land as a river, O daughter of Tarshish: [there is] no more strength.
Isaiah 23:11	He stretched out his hand over the sea, he shook the kingdoms: the LORD hath given a commandment against the merchant [city], to destroy the strong holds thereof.
Isaiah 23:12	And he said, Thou shalt no more rejoice, O thou oppressed virgin, daughter of Zidon: arise, pass over to Chittim; there also shalt thou have no rest.
Isaiah 23:13	Behold the land of the Chaldeans; this people was not, [till] the Assyrian founded it for them that dwell in the wilderness: they set up the towers thereof, they raised up the palaces thereof; [and] he brought it to ruin.
Isaiah 23:14	Howl, ye ships of Tarshish: for your strength is laid waste.
Isaiah 23:15	And it shall come to pass in that day, that Tyre shall be forgotten seventy years, according to the days of one king: after the end of seventy years shall Tyre sing as an harlot.
Isaiah 23:16	Take an harp, go about the city, thou harlot that hast been forgotten; make sweet melody, sing many songs, that thou mayest be remembered.
Isaiah 23:17	And it shall come to pass after the end of seventy years, that the LORD will visit Tyre, and she shall turn to her hire, and shall commit fornication with all the kingdoms of the world upon the face of the earth.
Isaiah 23:18	And her merchandise and her hire shall be holiness to the LORD: it shall not be treasured nor laid up; for her merchandise shall be for them that dwell before the LORD, to eat sufficiently, and for durable clothing.
Isaiah 24:1	Behold, the LORD maketh the earth empty, and maketh it waste, and turneth it upside down, and scattereth abroad the inhabitants thereof.
Isaiah 24:2	And it shall be, as with the people, so with the priest; as with the servant, so with his master; as with the maid, so with her mistress; as with the buyer, so with the seller; as with the lender, so with the borrower; as with the taker of usury, so with the giver of usury to him.
Isaiah 24:3	The land shall be utterly emptied, and utterly spoiled: for the LORD hath spoken this word.
Isaiah 24:4	The earth mourneth [and] fadeth away, the world languisheth [and] fadeth away, the haughty people of the earth do languish.
Isaiah 24:5	The earth also is defiled under the inhabitants thereof; because they have transgressed the laws, changed the ordinance, broken the everlasting covenant.
Isaiah 24:6	Therefore hath the curse devoured the earth, and they that dwell therein are desolate: therefore the inhabitants of the earth are burned, and few men left.
Isaiah 24:7	The new wine mourneth, the vine languisheth, all the merryhearted do sigh.
Isaiah 24:8	The mirth of tabrets ceaseth, the noise of them that rejoice endeth, the joy of the harp ceaseth.
Isaiah 24:9	They shall not drink wine with a song; strong drink shall be bitter to them that drink it.
Isaiah 24:10	The city of confusion is broken down: every house is shut up, that no man may come in.
Isaiah 24:11	[There is] a crying for wine in the streets; all joy is darkened, the mirth of the land is gone.
Isaiah 24:12	In the city is left desolation, and the gate is smitten with destruction.
Isaiah 24:13	When thus it shall be in the midst of the land among the people, [there shall be] as the shaking of an olive tree, [and] as the gleaning grapes when the vintage is done.
Isaiah 24:14	They shall lift up their voice, they shall sing for the majesty of the LORD, they shall cry aloud from the sea.
Isaiah 24:15	Wherefore glorify ye the LORD in the fires, [even] the name of the LORD God of Israel in the isles of the sea.
Isaiah 24:16	From the uttermost part of the earth have we heard songs, [even] glory to the righteous. But I said, My leanness, my leanness, woe unto me! the treacherous dealers have dealt treacherously; yea, the treacherous dealers have dealt very treacherously.
Isaiah 24:17	Fear, and the pit, and the snare, [are] upon thee, O inhabitant of the earth.
Isaiah 24:18	And it shall come to pass, [that] he who fleeth from the noise of the fear shall fall into the pit; and he that cometh up out of the midst of the pit shall be taken in the snare: for the windows from on high are open, and the foundations of the earth do shake.
Isaiah 24:19	The earth is utterly broken down, the earth is clean dissolved, the earth is moved exceedingly.
Isaiah 24:20	The earth shall reel to and fro like a drunkard, and shall be removed like a cottage; and the transgression thereof shall be heavy upon it; and it shall fall, and not rise again.
Isaiah 24:21	And it shall come to pass in that day, [that] the LORD shall punish the host of the high ones [that are] on high, and the kings of the earth upon the earth.
Isaiah 24:22	And they shall be gathered together, [as] prisoners are gathered in the pit, and shall be shut up in the prison, and after many days shall they be visited.
Isaiah 24:23	Then the moon shall be confounded, and the sun ashamed, when the LORD of hosts shall reign in mount Zion, and in Jerusalem, and before his ancients gloriously.
Isaiah 25:1	O LORD, thou [art] my God; I will exalt thee, I will praise thy name; for thou hast done wonderful [things; thy] counsels of old [are] faithfulness [and] truth.
Isaiah 25:2	For thou hast made of a city an heap; [of] a defenced city a ruin: a palace of strangers to be no city; it shall never be built.
Isaiah 25:3	Therefore shall the strong people glorify thee, the city of the terrible nations shall fear thee.
Isaiah 25:4	For thou hast been a strength to the poor, a strength to the needy in his distress, a refuge from the storm, a shadow from the heat, when the blast of the terrible ones [is] as a storm [against] the wall.
Isaiah 25:5	Thou shalt bring down the noise of strangers, as the heat in a dry place; [even] the heat with the shadow of a cloud: the branch of the terrible ones shall be brought low.
Isaiah 25:6	And in this mountain shall the LORD of hosts make unto all people a feast of fat things, a feast of wines on the lees, of fat things full of marrow, of wines on the lees well refined.
Isaiah 25:7	And he will destroy in this mountain the face of the covering cast over all people, and the vail that is spread over all nations.
Isaiah 25:8	He will swallow up death in victory; and the Lord GOD will wipe away tears from off all faces; and the rebuke of his people shall he take away from off all the earth: for the LORD hath spoken [it].
